username,repo_name,stars,related tags,repo_url
jwasham,coding-interview-university,303000, computer-science  algorithm  algorithms  interview  data-structures  software-engineering  coding-interviews  study-plan  interview-prep  interview-preparation  coding-interview  programming-interviews ,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,186000, javascript  computer-science  algorithm  algorithms  interview  data-structures  interview-preparation  javascript-algorithms ,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,183000, python  education  algorithm  practice  interview  sorting-algorithms  learn  algos  algorithm-competitions  sorts  hacktoberfest  algorithms-implemented  community-driven  searches ,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,174000, python  java  computer-science  algorithm  leetcode  cpp  interview  system-design ,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,115000, algorithm  algorithms  interview-practice  interview-questions  coding-interviews  interview-preparation  system-design  algorithm-interview  behavioral-interviews  algorithm-interview-questions ,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,93200, education  algorithm  programming  data-structure  algorithms  leetcode  book  algo  data-structures  dsa  data-structures-and-algorithms ,https://github.com/krahets/hello-algo
kdn251,interviews,63100, java  algorithm  algorithms  leetcode  interview  interviews  interview-practice  algorithm-competitions  leetcode-solutions  interview-questions  technical-coding-interview  algorithm-challenges  coding-interviews  coding-challenge  leetcode-questions  coding-challenges  leetcode-java  interview-prep  interview-preparation  coding-interview ,https://github.com/kdn251/interviews
TheAlgorithms,Java,58100, search  java  algorithm  algorithms  sort  data-structures  sorting-algorithms  algorithm-challenges  hacktoberfest  algorithms-datastructures ,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,54300, javascript  python  java  computer-science  tree  algorithm  algorithms  leetcode  cpp  interview  algo  data-structures  leetcode-solutions  algorithms-datastructures ,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,49900, javascript  python  java  go  algorithm  leetcode  cpp  interview  programmer  offer ,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,46500, visualization  algorithm  data-structure  animation ,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,34200, c  algorithm  database  leetcode  cpp  stl  interview  operating-system  data-structures  interviews  interview-practice  interview-questions  interview-preparation ,https://github.com/huihut/interview
halfrost,LeetCode-Go,32600, go  golang  facebook  algorithm  math  algorithms  leetcode  pattern  algo  acm-icpc  algorithm-competitions  leetcode-solutions  interview-questions  dynamic-programming  algorithms-and-data-structures  leetcode-golang  leetcode-go ,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,32000, javascript  search  cryptography  algorithm  cipher  algorithms  mathematics  sort  data-structures  conversions  sorting-algorithms  algorithm-challenges  hacktoberfest  algorithms-implemented ,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,29900, search  computer-science  machine-learning  algorithm  algorithms  cpp  machine-learning-algorithms  mathematics  sort  data-structures  educational  algorithm-competitions  interview-questions  hacktoberfest  algorithms-implemented  interview-preparation  artificial-intelligence-algorithms  instructor-materials ,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,29300, python  development  algorithm  programming  data-structure  interview  competitive-programming  coding  interview-practice  interview-questions ,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100, java  algorithm  jvm  netty  concurrent-programming  basic-java ,https://github.com/crossoverJie/JCSprout
keon,algorithms,23900, python  search  tree  algorithm  data-structure  algorithms  graph  competitive-programming  sort ,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23100, gamedev  machine-learning  algorithm  csharp  procedural-generation  wfc ,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22900, python  machine-learning  algorithm  jupyter  machine-learning-algorithms  jupyter-notebook  machinelearning ,https://github.com/trekhleb/homemade-machine-learning
