username,repo_name,stars,related tags,repo_url
justjavac,free-programming-books-zh_CN,111000, react  javascript  android  kotlin  python  swift  pdf  ios  angular  react-native  programming  books  vue  free ,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,95500, javascript  angular  typescript  web-performance  web  pwa  web-framework ,https://github.com/angular/angular
storybookjs,storybook,83800, react  javascript  stories  testing  html  components  documentation  styleguide  design-systems  angular  typescript  ui  react-native  webpack  workshop  vue  web-components  svelte  storybook  vite ,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,62900, react  nodejs  javascript  angular  programming  es6  concepts  es6-javascript  primitive-types  hacktoberfest  javascript-closures  javascript-programming  javascript-engines ,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,50800, react  javascript  ios  angular  mobile  framework  typescript  web  ionic  pwa  vue  material-design  webcomponents  frontend  stencil  capacitor  stenciljs ,https://github.com/ionic-team/ionic-framework
prettier,prettier,48900, javascript  css  html  graphql  markdown  flow  yaml  less  json  formatter  angular  typescript  printer  vue  jsx  scss  prettier  ast ,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,42300, react  redux  nodejs  javascript  css  d3  html  challenge  website  json  angular  node  typescript  programming  vue  js  d3js  webdevelopment  javascript-for-everyone  30daysofjavascript ,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34900, react  nodejs  javascript  html  ios  json  data  angular  grid  csv  database  html5  vue  xml  excel  table  xlsx  spreadsheet  bun  deno ,https://github.com/SheetJS/sheetjs
angular,angular-cli,26700, cli  angular  typescript  angular-cli ,https://github.com/angular/angular-cli
angular,components,24300, angular  material  material-design  angular-components ,https://github.com/angular/components
wailsapp,wails,24000, react  javascript  go  windows  macos  linux  golang  vuejs  angular  svelte  desktop-application ,https://github.com/wailsapp/wails
NativeScript,NativeScript,24000, react  javascript  android  kotlin  java  swift  ios  angular  typescript  vue  objective-c  cross-platform  svelte  capacitor  nativescript  flutter  hacktoberfest  solidjs  swiftui  visionpro ,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,23900, react  nodejs  javascript  testing  angular  express  mocha  jest  ci  mutation-testing  test  integration-testing  mutation  chai  e2e-tests  unittest  e2e  cicd  contract-testing ,https://github.com/goldbergyoni/javascript-testing-best-practices
sudheerj,javascript-interview-questions,23300, react  javascript  vuejs  angular  vanilla-javascript  javascript-applications  javascript-interview-questions  core-javascript ,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,22900, react  nodejs  javascript  cli  angular  build  typescript  nextjs  monorepo  storybook  build-tool  build-system  hacktoberfest  cypress  nx  nx-workspaces  building-tool ,https://github.com/nrwl/nx
jhipster,generator-jhipster,21400, react  java  docker  kubernetes  angular  cloud  webpack  generator  spring-boot  yeoman-generator  jhipster  hacktoberfest ,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,21100, nodejs  couchdb  graphql  firebase  angular  rxjs  react-native  database  ionic  nosql  pouchdb  sqlite  realtime  localstorage  indexeddb  crdt  realtime-database  rxdb  browser-database  local-first ,https://github.com/pubkey/rxdb
paperless-ngx,paperless-ngx,18700, pdf  machine-learning  django  angular  ocr  archiving  dms  document-management  optical-character-recognition  document-management-system ,https://github.com/paperless-ngx/paperless-ngx
teambit,bit,17800, react  javascript  front-end  angular  typescript  vue  component-driven  collaboration  monorepo  distributed  node-js  micro-services  composable  multirepo  service-oriented-architecture  micro-frontend  polyrepo  multirepo-maintenance  composable-architecture ,https://github.com/teambit/bit
sweetalert2,sweetalert2,17100, notifications  react  angular  alert  vue  modal  sweetalert  sweetalert2  dialog  prompt  popup  accessible  wai-aria  toast  confirm  confirmation-dialog ,https://github.com/sweetalert2/sweetalert2
