username,repo_name,stars,related tags,repo_url
bregman-arie,devops-exercises,65500, python  git  linux  docker  kubernetes  aws  ansible  devops  sql  azure  containers  terraform  openstack  interview  prometheus  coding  sre  interview-questions  production-engineer ,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,58700, ai  azure  transformers  openai  gpt  language-model  semantic-search  dall-e  prompt-engineering  llms  generative-ai  generativeai  chatgpt ,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20800, javascript  python  go  kubernetes  golang  aws  cloud  typescript  csharp  serverless  fsharp  dotnet  azure  containers  gcp  iac  cloud-computing  infrastructure-as-code ,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18600, microsoft  python  kubernetes  data-science  machine-learning  tutorial  deep-learning  azure  rating  jupyter-notebook  artificial-intelligence  ranking  recommender  recommendation-system  recommendation-engine  recommendation  recommendation-algorithm  operationalization ,https://github.com/recommenders-team/recommenders
danny-avila,LibreChat,16700, search  google  ai  bing  clone  azure  plugins  gemini  vision  openai  webui  claude  chatgpt  langchain  chatgpt-clone  anthropic  librechat  dall-e-3  gpt-4-vision  assistant-api ,https://github.com/danny-avila/LibreChat
getsops,sops,16100, aws  security  devops  azure  pgp  gcp  secret-management  secret-distribution  sops ,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,14900, docker  kubernetes  aws  machine-learning  meetup  books  schedule  resource  azure  cloud-providers  google-cloud  kubernetes-cluster  minikube  kubernetes-sources  deploy-kubernetes  enterprise-kubernetes-products  monitoring-kubernetes  google-kubernetes ,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13900, arm  azure  templates  arm-templates  bicep  bicep-templates ,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12800, nodejs  python  heroku  docker  nginx  php  aws  digitalocean  node  deployment  azure  containers  webserver  docker-swarm  paas  node-js  nginx-docker  captainduckduck  caprover ,https://github.com/caprover/caprover
milanm,DevOps-Roadmap,10900, python  go  linux  docker  kubernetes  computer-science  aws  devops  roadmap  jira  continuous-integration  azure  grafana  prometheus  sre  study-plan  continous-delivery  developer-roadmap  devops-roadmap ,https://github.com/milanm/DevOps-Roadmap
infracost,infracost,10800, aws  devops  google  cloud  azure  terraform  gcp  infrastructure-as-code  cost-estimation  cost-optimization  cost-management  finops  terraform-cost-estimation  monthly-costs  cloud-cost-estimates ,https://github.com/infracost/infracost
prowler-cloud,prowler,10400, python  aws  security  security-audit  cloud  azure  iam  gcp  forensics  compliance  hardening  security-hardening  gdpr  multi-cloud  security-tools  devsecops  cis-benchmark  well-architected ,https://github.com/prowler-cloud/prowler
google,go-cloud,9500, go  golang  aws  cloud  server  portable  azure  gcp  hybrid-cloud  multi-cloud ,https://github.com/google/go-cloud
microsoft,computervision-recipes,9400, microsoft  python  kubernetes  data-science  machine-learning  tutorial  computer-vision  deep-learning  azure  jupyter-notebook  image-processing  similarity  artificial-intelligence  image-classification  convolutional-neural-networks  object-detection  operationalization ,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,9200, android  emulator  docker  kubernetes  jenkins  aws  cloud  azure  terraform  selenium  gcp  mobile-app  novnc  saltstack  android-emulator  selenium-grid  mobile-web  docker-android  genymotion  alibabacloud ,https://github.com/budtmo/docker-android
Netflix,metaflow,7900, python  kubernetes  productivity  aws  data-science  machine-learning  r  ai  reproducible-research  azure  gcp  ml  datascience  high-performance-computing  rstats  r-package  model-management  ml-infrastructure  mlops  ml-platform ,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7500, electron  microsoft  typescript  sql  sql-server  azure  postgresql  azure-data-studio ,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7300, react  enterprise  aws  ioc  cloud  framework  typescript  web  vue  serverless  azure  serverless-framework  aliyun  dependency-injection-container  midway  mircoservices ,https://github.com/midwayjs/midway
node-formidable,formidable,7000, aws-lambda  serverless  azure  aws-s3  file-upload  form  multipart  azure-storage  formdata  formidable  multipart-formdata  multipart-parser  incomingform  querystring-parser ,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,7000, awesome  csharp  solid  dotnet  aspnet  azure  best-practices  clean-code  composition  inheritance  clean-architecture  principles ,https://github.com/thangchung/clean-code-dotnet
