username,repo_name,stars,related tags,repo_url
jlevy,the-art-of-command-line,152000, windows  macos  linux  bash  documentation  unix ,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,78300, nodejs  shell  bash  zsh  node  install  nvm  posix  lts  version-manager  node-js  posix-compliant  nvmrc ,https://github.com/nvm-sh/nvm
junegunn,fzf,63200, vim  go  bash  zsh  tmux  cli  fish  unix  neovim  fzf ,https://github.com/junegunn/fzf
starship,starship,43800, bash  rust  zsh  fish  oh-my-zsh  powershell  zsh-theme  shell-prompt  fish-theme  starship  zsh-prompt  fish-prompt ,https://github.com/starship/starship
google,zx,42700, nodejs  javascript  shell  bash  cli ,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,39100, nodejs  javascript  vim  bash  docker  language  programming-language  kubernetes  redis  php  vuejs  django  database  frontend  backend  xcode  cheatsheet  feathersjs  sailsjs  cheatsheets ,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,38200, shell  bash  letsencrypt  acme-client  acme  posix  certbot  acme-protocol  posix-sh  ash  zerossl  buypass ,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36400, shell  bash  learning  list  script  book  reference  guide  handbook  bible  how-to  shell-scripts ,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35900, shell  bash  haskell  linter  static-analysis  developer-tools ,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,32299, shell  bash  zsh  cli  fish  list  awesome  awesome-list ,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,30800, chrome-extension  search  linux  bash  ssh  screenshot  chrome  tools  command-line  gh-pages  screen  ls  linux-command  web-tools ,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30100, macos  dotfiles  bash ,https://github.com/mathiasbynens/dotfiles
withfig,autocomplete,24500, macos  shell  bash  zsh  cli  fish  autocomplete  typescript  terminal  iterm2  hacktoberfest  fig ,https://github.com/withfig/autocomplete
kingToolbox,WindTerm,22300, windows  linux  shell  bash  console  ssh  client  mac  terminal  serial  powershell  telnet  x11  sftp  xterm  wsl  cmd  xmodem  ymodem  zmodem ,https://github.com/kingToolbox/WindTerm
dylanaraps,neofetch,21800, bash  commandline  screenshot  command-line  script  neofetch  distro ,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,21400, ruby  python  shell  bash  zsh  cli  fish  golang  node  erlang  elixir  powershell  version-manager  multiple-languages  elvish  asdf-vm  nushell ,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,21200, shell  bash  rust  zsh  cli  fish  command-line  powershell  fzf  fish-shell  command-line-tool  autojump  fasd  hacktoberfest  jump  z  xonsh  elvish  xontrib  nushell ,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,20700, macos  linux  shell  bash  rust  zsh  terminal  wasm ,https://github.com/warpdotdev/Warp
atuinsh,atuin,19500, shell  bash  rust  zsh  fish  history ,https://github.com/atuinsh/atuin
Nyr,openvpn-install,18900, shell  bash  openvpn  debian  ubuntu  fedora  centos  vpn  rockylinux  almalinux ,https://github.com/Nyr/openvpn-install
