username,repo_name,stars,related tags,repo_url
iamadamdev,bypass-paywalls-chrome,48400, chrome-extension  firefox  chrome  firefox-addon  firefox-extension  bypass  chrome-extensions  paywall  bypass-paywalls ,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,30800, chrome-extension  search  linux  bash  ssh  screenshot  chrome  tools  command-line  gh-pages  screen  ls  linux-command  web-tools ,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,24000, github  chrome-extension  safari-extension  firefox-addon  github-extension  userstyle  browser-extension ,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23400, chrome-extension  translator  translation  openai  browser-extension  translator-app  chatgpt ,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19300, chrome-extension  firefox-addon  accessibility  night-mode  dark-theme  eye-care  dark-mode  darkmode  nightmode ,https://github.com/darkreader/darkreader
dailydotdev,daily,17700, chrome-extension  search-engine  community  pwa  ai  firefox-addon  social-network  webapp  developer-tools  developer-portal  edge-extension  professional-networking ,https://github.com/dailydotdev/daily
checkly,headless-recorder,15000, chrome-extension  chrome  vue  puppeteer  playwright ,https://github.com/checkly/headless-recorder
gildas-lormeau,SingleFile,14600, javascript  chrome-extension  cli  firefox  screenshot  chrome  osint  browser  firefox-addon  annotations  snapshot  selenium  archive  archiver  self-extracting-zip  web-clipper  puppeteer  auto-save  offline-reading  self-extracting ,https://github.com/gildas-lormeau/SingleFile
unbug,codelf,14100, chrome-extension  naming  atom-plugin  vscode-extension  codelf ,https://github.com/unbug/codelf
immersive-translate,immersive-translate,13900, chrome-extension  safari-extension  translation  userscript ,https://github.com/immersive-translate/immersive-translate
wong2,chatgpt-google-extension,13300, chrome-extension  firefox-addon  browser-extension  chatgpt ,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12400, chrome-extension  firefox  youtube  firefox-addon  firefox-extension  dislike  dislikes  dislikes-count  dislike-button ,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11900, react  chrome-extension  firefox  chrome  typescript  rxjs  extension  dictionaries  firefox-addon  webextension  firefox-extension  saladict ,https://github.com/crimx/ext-saladict
alyssaxuu,screenity,11400, audio  javascript  chrome-extension  editor  productivity  design  video  camera  ffmpeg  annotation  tensorflow  screen-recorder  screen-capture  recorder  screencast  annotation-tool ,https://github.com/alyssaxuu/screenity
listen1,listen1_chrome_extension,11300, chrome-extension  music-player ,https://github.com/listen1/listen1_chrome_extension
AutomaApp,automa,11100, javascript  chrome-extension  workflow  automation  vue  firefox-extension  browser-extension  hacktoberfest  browser-automation ,https://github.com/AutomaApp/automa
chathub-dev,chathub,9900, react  chrome-extension  typescript  browser-extension  all-in-one ,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9800, chrome-extension  safari-extension  firefox-addon  firefox-extension  browser-extension  edge-extension  chatgpt ,https://github.com/josStorer/chatGPTBox
ajayyy,SponsorBlock,9600, chrome-extension  firefox  chrome  youtube  opera  chromium  firefox-extension  adblock  web-extension  youtube-videos  adblocker  hacktoberfest  sponsored-segments  sponsorblock ,https://github.com/ajayyy/SponsorBlock
PlasmoHQ,plasmo,9100, chrome-extension  bundler  typescript  sdk  firefox-addon  reactjs  parcel  browser-extension  edge-addon ,https://github.com/PlasmoHQ/plasmo
